Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,SolarHours,Class
0,22.07,22.62,44.69,266,4.1,4.9,0
0,0,0,0,20,3.3,3.4,0
0,0,0,0,75,4,1.6,0
0,0,1.89,1.89,25,3,7.1,0
6.95,6.95,6.95,20.85,22,2.3,5.5,0
0,0.53,5.88,6.41,213,2.2,0,0
0.54,0.54,0.54,1.62,2,1,0.3,0
0,0,0,0,58,1.3,12.8,0
1.15,1.15,3.29,5.59,16,2.1,0,0
1.73,2.88,20.17,24.78,280,2.5,11.9,0
0,0,0,0,178,1.3,11.9,0
0,0,0,0,120,3.1,11.9,0
0,1.05,5.26,6.31,263,1.4,5.7,0
8.94,17.89,17.89,44.72,257,3.3,10.5,0
0,0,0,0,287,2.3,10.1,0
0,0,0,0,145,2.2,7.7,1
0,0,0,0,169,1.1,10.3,0
0,0,0,0,90,3.9,5.4,0
0,0,5.13,5.13,281,2.6,10.2,0
0,1.03,3.09,4.12,142,2.4,6.4,0
0,2.05,6.17,8.22,243,1.8,10,0
0,0.54,7.6,8.14,197,1.6,10.2,0
0,0,0,0,260,0.7,9.3,0
0,0.54,4.89,5.43,282,1,7.5,0
1.69,1.69,1.69,5.07,245,2,4.9,0
0,0,0,0,199,1.2,1.5,0
5.66,8.49,9.05,23.2,21,1.3,2.8,0
5.66,16.98,21.51,44.15,259,4.3,2.6,0
0,3.4,3.96,7.36,250,2.6,0.1,0
0,2.53,6.06,8.59,273,4.4,2,0
22.2,25.73,25.73,73.66,202,1,0,0
0,0,4.54,4.54,283,1,6.6,0
0,7.14,9.52,16.66,14,2.1,0.7,0
2.86,11.43,31.89,46.18,275,1.5,3.5,0
2.38,2.38,2.38,7.14,250,1.1,3.7,0
0,0,0,0,208,1.3,8.7,0
0,1.42,2.38,3.8,262,1.6,0.9,0
10.05,22.33,22.89,55.27,358,0.9,3.9,0
0.56,0.56,1.12,2.24,258,3.3,8.8,0
0.56,12.84,12.84,26.24,262,3.3,1.5,0
5.82,5.82,6.35,17.99,351,1.7,5.2,0
0,0,0,0,346,1.9,0,0
4.77,4.77,4.77,14.31,238,4.1,6.4,0
0,0,10.59,10.59,230,5.5,7.3,0
0,0,0,0,101,1.8,11.3,0
15.03,15.03,19.33,49.39,19,2.5,0.1,0
0,0.54,0.54,1.08,228,2.3,11.4,0
3.22,4.83,18.25,26.3,284,2.7,8.3,0
5.65,5.65,5.65,16.95,274,4.2,9.9,0
11.38,11.38,11.38,34.14,321,1.8,0.8,0
5.69,5.69,5.69,17.07,21,2.4,0,0
0,0,0,0,236,2.2,1.7,0
1.55,1.55,1.55,4.65,73,3.8,12.3,0
15.59,33.78,33.78,83.15,56,4,0.1,0
0,0,0,0,249,2.1,12,0
0,0,0,0,290,2.2,6.2,0
0,1.13,1.13,2.26,244,3.5,10.9,0
0,0,0,0,212,2.4,9.9,0
0,8.85,8.85,17.7,242,1.2,0,0
0,0,21.15,21.15,140,1.6,10.2,0
16.72,73.54,81.5,171.76,191,3.1,11.5,0
0,0,0,0,74,3.1,9.2,0
0,0,6.01,6.01,245,1.5,7.6,0
0,0,0,0,54,2.5,4.6,0
0,0,0,0,185,2.6,3.8,0
6.31,21.54,21.54,49.39,16,3.3,0.6,0
0,0.52,0.52,1.04,243,0.9,4.4,0
0,0,0,0,353,0.6,1.8,0
0,6.82,23.07,29.89,188,2.9,8.3,0
16.26,25.71,40.39,82.36,342,0.9,6.4,0
0,3.68,4.2,7.88,263,2.2,3.6,0
2.1,2.62,2.62,7.34,238,1.9,5.6,0
0,10.18,10.18,20.36,324,1,0.7,0
0.49,0.49,0.49,1.47,18,0.4,0.2,0
0,0,0,0,241,0.6,7.7,0
21.82,24.73,34.91,81.46,155,1.3,3.8,0
0,0,0,0,226,0.3,6.7,0
0,0,23.5,23.5,144,2.8,7.4,0
0.5,7.5,7.5,15.5,244,1.6,3.2,0
1.06,14.37,14.37,29.8,242,4.6,4.5,0
3.2,7.99,9.58,20.77,207,1.9,10,0
0,0,1.07,1.07,254,2.7,4.5,0
2.66,2.66,7.99,13.31,229,2.1,4.4,0
0,18.63,18.63,37.26,259,3.9,3.3,0
0,0,0,0,72,2.3,2.1,0
0,1.41,7.08,8.49,186,2,11.5,0
0,0,0,0,101,3.5,9.5,0
0,4.72,4.72,9.44,252,3.3,8.6,0
0,6.38,9.25,15.63,206,1.9,11.3,0
0,0,0,0,266,3.7,6.7,0
0,0,0,0,226,1.1,12.8,0
10.79,22.56,22.56,55.91,244,3.9,1.4,0
0,0,0,0,220,2.9,8.6,0
0,0,0,0,147,3.5,12.6,0
0,0.51,0.51,1.02,338,1.7,0.8,1
6.12,15.29,15.29,36.7,236,3.9,7.1,0
3.23,3.23,3.23,9.69,334,0.9,0.5,0
0,0,0,0,237,2,7.5,0
0.92,16.14,24.44,41.5,180,2.4,9.9,1
5.08,5.08,5.08,15.24,58,1,8.1,0
1.35,21.46,21.46,44.27,234,4.5,3.7,0
0,0,0,0,234,4.5,7.8,0
0.45,4.47,14.31,19.23,234,4.5,4.2,0
0,0,0,0,234,4.5,9.9,0
0,0,0,0,234,4.5,10.8,1
0,1.66,1.66,3.32,234,4.5,8.9,0
0,0,0,0,234,4.5,11.6,0
0,0,0,0,234,4.5,1,0
0,0,0,0,234,4.5,0.9,0
2.1,2.1,5.77,9.97,254,2.6,9.8,0
5.25,15.73,16.78,37.76,202,2.2,3.3,0
0,4.2,4.2,8.4,64,2.8,10,0
0,0,0,0,252,1.9,9.6,0
0,0,0,0,252,1.2,9.1,0
0,0,0,0,228,1.7,10.1,0
0,0,0,0,300,1.7,0.3,0
0,0,0,0,252,1.7,7,0
10.51,14.34,14.34,39.19,301,2.5,4.5,0
0,0,0,0,44,4.4,0,0
0,0,0,0,292,2.9,4,0
0,0,2.39,2.39,346,1,12.3,0
0,0,0,0,213,3.1,11.5,0
0,0,0,0,94,2.2,12,0
0,0,0.48,0.48,179,2.4,8.7,0
0,0,1.9,1.9,253,1,10.2,0
9.06,9.06,9.06,27.18,312,1.1,5.3,0
0,0,4.29,4.29,239,1.2,11.8,0
0,0,0.44,0.44,358,0.8,8.3,0
0,0,0,0,241,0.6,3.4,0
0,0,0,0,66,0.6,9.4,0
4.37,4.37,6.56,15.3,314,1.1,8,0
1.07,1.07,1.07,3.21,67,3,2.7,0
0,0,0,0,74,2.4,12.4,0
0,0,0,0,236,2,4.4,0
0,0,3.11,3.11,84,1.5,4.5,0
0,0,1.04,1.04,275,2.4,2.7,0
0,0,0,0,248,1.5,12.3,0
0,2.11,2.63,4.74,248,1.9,8.8,0
0.43,0.43,0.43,1.29,52,4.2,0.3,0
3.38,6.34,9.3,19.02,246,6.6,10.2,0
3.81,3.81,3.81,11.43,81,1.6,11.6,0
2.54,2.96,4.23,9.73,250,2.6,11.3,0
0,0,0,0,266,1.2,13.3,0
4.79,4.79,4.79,14.37,354,1.4,0.3,0
0,2,2,4,95,4.5,1.9,0
0,3.89,3.89,7.78,297,1.7,5.8,0
0,0,0,0,221,0.6,8.1,0
0,0,0,0,248,2.7,11,0
0,0,0,0,212,3.4,9.9,0
0,0,0,0,247,0.4,10.8,0
1.23,1.23,1.23,3.69,195,1.6,4.4,0
0,0,1.23,1.23,76,1.7,7.2,0
0,1.37,5.5,6.87,205,0.5,6.7,0
0,0.46,2.75,3.21,255,1.4,4.5,0
10.56,19.54,40.67,70.77,243,2,8.1,0
0,0,3.7,3.7,240,2,6.1,0
8.02,8.02,20.33,36.37,273,4.3,11.3,0
0,0,0,0,264,4.1,7.7,0
0,1.07,5.35,6.42,270,2.2,7.1,0
0,0,0,0,164,2,5.3,0
0,0,0,0,264,5.3,5.9,0
0,15.61,19.77,35.38,247,5,7.2,0
2.6,2.6,2.6,7.8,260,2.5,2.8,0
0,0,0,0,172,1.9,13,0
10.11,16.06,16.06,42.23,291,2.5,1,0
0,0,0,0,236,2.4,0.2,0
0,0,0,0,262,2.5,0,0
0,7.73,41.04,48.77,246,1.6,12.3,0
3.04,3.04,3.04,9.12,85,4.2,5,0
0,0.6,3.03,3.63,251,1.8,10.6,0
0,0,0,0,186,1,3.3,0
1.21,1.82,1.82,4.85,171,1.4,0.8,0
1.77,1.77,1.77,5.31,12,1,8.7,0
0,0,0,0,257,1.4,7.8,0
0,0,0,0,304,0.7,7,0
