Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,SolarHours,Class
0,0.5,0.5,1,264,4.1,7.7,0
0,1.01,7.04,8.05,270,2.2,7.1,0
0,0.5,0.5,1,164,2,5.3,0
0,0,0,0,264,5.3,5.9,0
1.47,15.12,19.02,35.61,247,5,7.2,1
1.95,1.95,2.44,6.34,260,2.5,2.8,0
0,0,0,0,170,2.7,12,0
18.69,24.92,24.92,68.53,291,2.5,1,0
0,0,0,0,236,2.4,0.2,0
0,0,0,0,262,2.5,0,0
0,6.23,35.3,41.53,246,1.6,12.3,0
2.08,2.08,2.08,6.24,85,4.2,5,0
0,0.48,0.48,0.96,251,1.8,10.6,0
0,0,0,0,186,1,3.3,0
0.48,1.43,1.43,3.34,171,1.4,0.8,0
0.49,0.49,0.49,1.47,12,1,8.7,0
0,0,0,0,257,1.4,7.8,1
0,0,0,0,304,0.7,7,0
0,2.11,18.75,20.86,245,2.2,5.9,0
0,7.58,7.58,15.16,247,3,8.7,0
0,0,0,0,252,1.6,6.6,0
0,0,0,0,180,2,4.4,0
1.86,1.86,1.86,5.58,56,2.8,0.1,0
0,1.02,1.02,2.04,59,3.3,5.4,0
14.27,21.4,23.44,59.11,299,2.4,0.6,0
1.53,4.07,7.13,12.73,248,3.1,10.7,0
0,0,0,0,245,0.4,11.9,0
8.84,9.39,9.39,27.62,350,1.4,3,0
0,0,0,0,169,2.4,11,0
0,3.86,15.45,19.31,229,1.8,3.6,0
0,0,0,0,190,2.6,10.7,0
0,0,0,0,144,2.6,12.3,0
0,3.79,3.79,7.58,185,2,9,0
0,0,0,0,91,3.6,9.1,0
0,0,0,0,251,2.4,9.1,0
3.79,13.01,13.55,30.35,119,4.1,6.4,0
0,0.89,0.89,1.78,256,1.2,5.5,0
0,0,0,0,81,3,5.3,0
0,0,0,0,84,3.3,6.3,0
0.44,5.8,6.25,12.49,251,1.2,8.9,0
0,0,0,0,176,1.4,9.4,1
0,0,0,0,207,0.5,9.5,0
7.81,8.33,44.25,60.39,260,1.6,3.1,1
3.13,10.94,11.46,25.53,247,2.4,2.8,0
0.52,0.52,0.52,1.56,265,3.7,4.6,0
11.12,12.11,12.11,35.34,272,4.6,7.3,0
0,0,0,0,169,1.5,11,0
0.49,1.94,3.87,6.3,232,2.6,5.8,0
0,15.48,24.67,40.15,269,2,7.2,0
0,2.09,4.13,6.22,308,1.5,10.7,0
3.13,20.87,20.87,44.87,226,2.5,4.8,0
0,2.61,4.7,7.31,234,3.5,10.7,1
0,0,3.13,3.13,116,4,4.4,0
4.18,10.44,10.44,25.06,261,2.8,4.3,0
0,0,0,0,199,1.7,12.9,0
0,0,0,0,117,2.4,11.1,0
0,0.54,2.7,3.24,176,2.1,12.3,0
0,0,0,0,208,0.9,12.1,0
0,0,0,0,238,0.9,10.3,0
0.53,5.85,5.85,12.23,281,1.3,8.7,1
10.12,10.12,10.65,30.89,232,2.6,6.4,0
0,0,0.53,0.53,144,1.9,7.7,0
0,0,0,0,131,2.2,9.7,0
2.55,3.57,3.57,9.69,218,0.8,7.8,0
0,0,0,0,215,0.3,9.4,0
0,0,1.53,1.53,254,0.5,11.4,0
0.51,0.51,0.51,1.53,141,2.7,6.3,0
3.05,3.05,3.05,9.15,244,1.5,4.3,0
0,0,0,0,109,3.2,6.2,0
0,3.57,18.32,21.89,212,1.3,2.9,0
0.48,0.97,0.97,2.42,246,1.6,7,0
0.47,0.94,1.4,2.81,264,2.7,1.4,0
2.81,2.81,4.68,10.3,356,1.6,2.4,0
0,0.47,3.28,3.75,243,2.8,2.5,0
0,0,0,0,206,3.1,11.9,0
12.64,12.64,13.11,38.39,283,3.5,0,0
0,0,0,0,244,1.6,12.4,0
0,2.06,10.32,12.38,218,2.6,11.8,0
0,0,0,0,319,1,3.2,0
0.51,0.51,0.51,1.53,274,3.6,1,0
0,0,3.61,3.61,135,1.8,11.8,0
0,3.81,9.52,13.33,247,2.3,2.3,0
0,0,0,0,56,4,6.7,0
0,0,0,0,103,2.1,8.8,0
0,0,10.95,10.95,74,4.3,10.2,0
0,0,0,0,241,2.4,5.6,0
1.41,1.41,2.83,5.65,36,1.4,3.6,0
0,0,0,0,85,2.6,8.3,0
0.47,1.88,1.88,4.23,250,1.3,8,0
0,0,0,0,249,0.2,8.5,0
0,0,0,0,236,2.1,6.6,0
2.8,2.8,2.8,8.4,344,1.2,5.7,0
0,0,0,0,103,3.6,7,0
1.4,13.98,13.98,29.36,184,2,8.2,0
2.45,2.45,2.45,7.35,256,1.3,7,0
0,0.98,0.98,1.96,277,0.7,7.3,0
4.44,8.87,10.35,23.66,238,3.1,8.7,0
0.49,4.93,98.15,103.57,225,1.4,2,0
0,0.5,0.5,1,241,1.3,7.2,0
0.89,0.89,0.89,2.67,257,0.4,1.4,0
8,8,8,24,86,2.9,0.6,0
8.45,10.22,10.67,29.34,205,2.1,5.7,0
0.44,0.44,0.44,1.32,4,2,3.5,0
0,0,0.51,0.51,177,0.6,11,0
0,0,0,0,86,1.9,10.7,0
0,36.88,38.42,75.3,176,1.4,7,0
0,0,1.53,1.53,226,0.7,9.6,0
1.53,12.29,12.8,26.62,256,2.1,7.8,0
0,0,0,0,184,0.8,2.5,0
0,0,1,1,250,1.6,11.3,0
0.5,0.5,0.5,1.5,243,2.8,7.7,0
0,6,8.5,14.5,305,1.3,9.6,0
0.5,0.5,0.5,1.5,131,1.8,9.4,1
0,0.5,1,1.5,138,1,7.5,0
0,0,0.5,0.5,136,2.2,6.8,1
0,0,0,0,216,0.8,7.6,0
2.5,2.5,2.5,7.5,147,0.8,1.8,0
0,0,2.5,2.5,195,2,12.5,0
0,0,0,0,57,3.2,9.3,0
0,0,0,0,146,2.7,12.4,0
0.5,16,16.5,33,343,0.8,7,0
8.5,8.5,8.5,25.5,10,0.7,6.3,0
16,17,25.5,58.5,12,1.5,0.6,0
0,0.5,0.5,1,247,0.7,3.9,0
0,0,0,0,145,3.5,4.3,0
0,21.5,21.5,43,141,3.6,9.2,0
0,25.5,27,52.5,208,3.2,9.2,0
5,32.5,62,99.5,63,3.7,0,0
1,33.5,38.5,73,294,1,8.4,0
0,0,12.5,12.5,230,0.6,10.1,0
0,0,0.51,0.51,189,1.8,7.3,0
1.33,4.42,4.42,10.17,181,1.5,4.4,0
0,0.44,2.21,2.65,143,2.6,10.9,0
0,0,0,0,237,3.7,9,0
0,2.21,2.21,4.42,102,1.4,1.6,0
0,0,0,0,164,1.3,5.2,0
0.89,0.89,0.89,2.67,40,2.6,1.1,0
0,1.5,6,7.5,47,1.6,0.1,0
0,0,0,0,219,2.3,11.4,0
0,0,0,0,307,2.4,11.4,0
0,0,0,0,205,3.6,11.4,0
0,0,0,0,121,2.6,11.4,0
0,0,5,5,179,0.4,11.4,0
0,0,0,0,251,1.2,11.4,0
0,0,0,0,117,0.6,11.4,0
0,0,0,0,85,2.4,11.4,0
0,0,2,2,249,1,2,0
0,0,0,0,166,1.4,10.5,0
0,0.48,1.94,2.42,142,1.5,8.2,0
0,0,0,0,237,0.5,8.7,0
2.39,3.35,3.35,9.09,50,3.9,4.3,0
0,0,0,0,56,1.7,6.2,0
0,0,0,0,108,1.6,2.8,0
0.95,0.95,0.95,2.85,37,2,6.5,0
0,0,0.48,0.48,83,3.8,0,0
0,1.44,2.4,3.84,237,2.4,2.8,0
0,0,0,0,231,2.3,5.5,0
0,0.48,0.48,0.96,190,3.1,10.4,0
5.75,31.14,31.14,68.03,357,1.3,8.2,0
0,0,1.44,1.44,51,2.4,12.5,0
0,0,0,0,239,3.4,8.6,0
7.19,10.06,10.06,27.31,37,1.5,0.6,1
0.48,0.96,8.15,9.59,227,2.6,8.2,0
0,13.41,13.41,26.82,165,3.2,12.7,0
0,0,0,0,298,1.3,1.9,0
0,0.46,0.46,0.92,217,2.1,6,0
0,0,0,0,79,3,8.6,0
0,0,0,0,236,1.1,9.3,0
0.46,1.85,1.85,4.16,247,1.5,10.1,1
2.31,2.77,4.16,9.24,258,3.9,7.2,0
0,0,0,0,221,0.6,7.9,0
0,0.5,3.5,4,300,1,8.2,0
0,0,0,0,251,1.2,7.3,0
9.85,9.85,10.34,30.04,329,2.4,2,0
0,0,0,0,264,3.4,5.1,0
7.38,18.21,18.7,44.29,31,2.6,1.2,1
0,0,7.38,7.38,261,2.9,9.9,0
0,0,0.98,0.98,249,2.2,2.3,1
0,0,0,0,250,2.3,11.2,0
2.95,3.44,4.42,10.81,251,2.4,5.5,0
0,0,0,0,19,1.8,0,0
0,0,49.11,49.11,93,4.8,0,0
0,9.33,9.82,19.15,199,2,11.4,0
0,0,0,0,87,2.3,8.4,0
0,0,0,0,293,0.6,12.4,0
0,0,0,0,192,3.2,10,0
0,0.49,2.95,3.44,261,1.2,11.7,0
0,0,0,0,66,2.4,5,0
2.94,4.42,5.4,12.76,257,3.1,7.8,0
1.96,1.96,1.96,5.88,185,2.4,5,0
0,0,0,0,252,1.3,11.5,0
0.98,1.96,1.96,4.9,104,3,3.9,0
0,0,0,0,106,3,1,0
0,0,3.44,3.44,233,0.7,9.6,0
35.23,35.23,35.73,106.19,204,3.1,2.5,0
7.94,7.94,7.94,23.82,46,2,6.3,0
0.5,9.92,13.89,24.31,271,1.6,6.5,0
0,0,0,0,281,1.6,3.7,0
0,0,0,0,239,2.7,3.6,0
0,0,21.26,21.26,213,2.4,9.2,0
0,0,0,0,73,0.8,7,0
0,0,0,0,63,3.7,0,0
0,0,0,0,216,3.3,6.4,0
0,0,0,0,256,2.9,6.3,0
0,0,0,0,244,2.4,11.6,0
0,0,0,0,217,3,11.3,0
0,0,0,0,77,2.4,11,0
0,0.51,21.39,21.9,82,3.6,7.5,0
0.51,7.13,7.13,14.77,250,2.2,10.5,0
7.13,11.71,11.71,30.55,331,1.1,10.8,0
4.08,4.08,4.08,12.24,96,2,4.4,0
0,0.51,0.51,1.02,288,1.4,7.2,0
0,0,0,0,183,2.2,9.9,0
0,0,0,0,63,4.4,0.5,0
0,0,0,0,258,0.6,10,0
7.78,25.41,58.09,91.28,201,0.9,1,0
0.52,0.52,0.52,1.56,211,2.1,9.5,0
0,0,0,0,230,0.8,5.1,0
0.96,1.92,1.92,4.8,141,1,0,0
1.92,4.32,4.32,10.56,64,7.6,0.1,0
0,0,0,0,224,0.9,10.2,0
0,6.17,6.17,12.34,311,2.2,9.2,1
0.51,0.51,0.51,1.53,237,2.6,5.7,0
0,6.17,24.67,30.84,212,2.5,10.5,0
8.23,11.31,11.31,30.85,263,3.4,6.2,1
6.17,23.64,31.87,61.68,169,2.1,7.4,0
0,0,0.51,0.51,210,2.5,11.8,0
0,0,4.63,4.63,265,1.3,1,0
0,0,0,0,43,2.2,11,0
0,0.49,0.98,1.47,258,3.1,5.8,0
0,0,0,0,190,2,12.4,0
0.98,0.98,0.98,2.94,261,3.6,9.4,0
3.93,8.36,8.36,20.65,254,3.1,11.3,0
0,0,0,0,211,3.4,11.6,0
0,0.49,22.13,22.62,223,2,8.6,0
0,0,0,0,286,2.8,11,0
0,0,0,0,261,4,6.4,0
0,3.44,3.93,7.37,179,2.4,6.6,0
0,0.49,6.88,7.37,76,2.9,10.8,0
0,0,0,0,225,0.5,5.1,0
15,15,15,45,26,0.6,0,0
0,0,1.5,1.5,194,1.7,11.1,0
1.5,1.5,1.5,4.5,239,2.7,4.9,0
40,42.5,98,180.5,293,2.4,0,1
