DATE,Entero,Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,Solarhours,BeachName,BeachType,BeachDirection,Entero_level,Wspeed_level,Wdirection_level,on_offshore
1998-01-04,10.0,0.0,0.0,0.0,0.0,210,2.6,12.3,Weymouth,1,10,0,1,9,1
1998-01-05,10.0,0.0,0.0,0.0,0.0,269,2.4,11.5,Milford,0,2,0,1,12,0
1998-01-05,10.0,0.33,0.33,0.33,0.99,260,2.6,11.5,Clarks,1,15,0,1,12,2
1998-01-05,10.0,0.0,0.0,0.0,0.0,260,2.6,11.5,Weymouth,1,10,0,1,12,1
1998-01-05,238.0,0.0,0.0,0.0,0.0,269,2.4,11.5,Judges_Bay,1,1,0,1,12,2
1998-01-05,10.0,0.0,0.0,0.0,0.0,269,2.4,11.5,Narrow_Neck,0,1,0,1,12,2
1998-01-13,10.0,0.5,0.5,0.5,1.5,236,6.6,9.4,Milford,0,2,0,1,10,0
1998-01-13,10.0,0.49,0.49,0.49,1.47,230,11.8,9.4,Weymouth,1,10,0,2,10,1
1998-01-13,10.0,1.2,1.2,1.2,3.5999999999999996,236,6.6,9.4,Narrow_Neck,0,1,0,1,10,0
1998-01-13,10.0,0.0,2.67,4.34,7.01,230,11.8,9.4,Clarks,1,15,0,2,10,2
1998-01-13,10.0,0.99,0.99,0.99,2.9699999999999998,236,6.6,9.4,Judges_Bay,1,1,0,1,10,0
1998-01-14,13.0,0.0,0.49,0.49,0.98,180,1.5,11.6,Weymouth,1,10,0,1,8,1
1998-01-14,10.0,0.0,0.5,0.5,1.0,195,1.9,11.6,Milford,0,2,0,1,9,0
1998-01-14,10.0,0.0,0.0,2.67,2.67,180,1.5,11.6,Clarks,1,15,0,1,8,0
1998-01-14,10.0,0.0,1.2,1.2,2.4,195,1.9,11.6,Narrow_Neck,0,1,0,1,9,0
1998-01-14,10.0,0.0,0.99,0.99,1.98,195,1.9,11.6,Judges_Bay,1,1,0,1,9,0
1998-01-20,10.0,0.0,0.0,0.0,0.0,189,2.8,5.3,Narrow_Neck,0,1,0,1,8,0
1998-01-20,10.0,0.09,0.09,0.09,0.27,189,2.8,5.3,Judges_Bay,1,1,0,1,8,0
1998-01-20,12.0,5.0,7.5,7.5,20.0,170,2.6,5.3,Clarks,1,15,0,1,8,0
